system:index,B2,B3,B4,B5,B6,B7,B8,landcover,ndd,ndsi,ndvi,.geo
1_1_1_1_1_142_0,5887,5838,6236,6224,6284,6301,6184,0,1.0084088,0.6620641,-0.0041867956,
1_1_1_1_1_143_0,5799,5620,6033,5994,5852,5840,5832,0,1.0344651,0.68718106,-0.01694058,
1_1_1_1_1_144_0,8324,8116,8459,8477,8151,7912,8160,0,1.0366422,0.819527,-0.017991455,
1_1_1_1_1_145_0,5537,5564,5782,6464,6447,5802,5392,0,1.0723294,0.83721316,-0.034902453,
1_1_1_1_1_146_0,5985,5932,6293,6480,6572,6201,5894,0,1.067696,0.84080684,-0.032739803,
1_1_1_1_1_147_0,4938,4673,4882,5167,4818,3780,4363,0,1.1189549,0.8481313,-0.056138452,
1_1_1_1_1_148_0,4545,4244,4334,4498,4307,4189,4042,0,1.0722414,0.7764755,-0.03486151,
1_1_1_1_1_149_0,4701,4517,4690,4812,4689,4639,4339,0,1.0808942,0.8444263,-0.038874738,
1_1_1_1_1_150_0,4815,4522,4314,4091,3939,3503,3241,0,1.3310707,0.82228494,-0.14202514,
1_1_1_1_1_151_0,6161,6159,6394,6475,6578,6496,5920,0,1.0800675,0.84153086,-0.038492773,
1_1_1_1_1_152_0,5157,5364,5517,5880,5542,5271,4922,0,1.1208858,0.8566978,-0.0569978,
1_1_1_1_1_153_0,7767,7935,8430,8247,8250,7922,7459,0,1.1301783,0.85962033,-0.06111146,
1_1_1_1_1_154_0,6299,6286,6600,6763,6351,6241,5967,0,1.1060835,0.8390872,-0.050370015,
1_1_1_1_1_155_0,7778,7653,7867,7718,7565,7326,7012,0,1.1219338,0.8766552,-0.057463538,
1_1_1_1_1_156_0,4219,4190,4428,4468,4488,4630,4217,0,1.0500356,0.6577646,-0.024407173,
1_1_1_1_1_157_0,5895,5689,5959,6032,5806,5604,5492,0,1.0850328,0.8552095,-0.040782463,
1_1_1_1_1_158_0,8100,7953,8418,8482,8432,8184,7800,0,1.0792308,0.8697543,-0.03810581,
1_1_1_1_1_159_0,7241,7138,7711,7853,7772,7808,7426,0,1.0383787,0.85066116,-0.018828038,
1_1_1_1_1_160_0,7281,7171,7423,7367,7123,6744,6386,0,1.1623864,0.8676911,-0.07509595,
1_1_1_1_1_161_0,6670,6569,6863,7030,6798,6499,6173,0,1.1117771,0.8798111,-0.052930348,
1_1_1_1_1_162_0,7109,7041,7309,7347,7190,6755,6442,0,1.1345855,0.85802877,-0.06304996,
1_1_1_1_1_163_0,7034,6945,7308,7406,7701,7151,6461,0,1.1310942,0.8844119,-0.061514996,
1_1_1_1_1_164_0,10484,10262,10606,10670,10507,9868,9587,0,1.1062897,0.88259035,-0.050463032,
1_1_1_1_1_165_0,10183,10202,10867,11017,10921,10652,10411,0,1.0437999,0.84751904,-0.021430586,
1_1_1_1_1_166_0,7735,7491,7536,7540,7238,6734,6373,0,1.1824887,0.93341076,-0.08361492,
1_1_1_1_1_167_0,8520,8221,8226,8221,7986,7431,7060,0,1.1651558,0.93344307,-0.07627895,
1_1_1_1_1_168_0,7041,6811,6842,6827,6653,6219,5879,0,1.1638033,0.944611,-0.075701594,
1_1_1_1_1_169_0,5919,5655,5426,5202,4785,4258,3705,0,1.4645075,0.947314,-0.18847881,
1_1_1_1_1_170_0,7119,7034,7204,7271,7001,6491,6241,0,1.1543022,0.93454343,-0.071625136,
1_1_1_1_1_171_0,6802,6492,6002,5918,5625,4889,4253,0,1.4112391,0.8852911,-0.17055096,
1_1_1_1_1_172_0,7024,6742,6236,5959,5425,4440,3933,0,1.585558,0.95165724,-0.22647262,
1_1_1_1_1_173_0,6297,6149,5820,5635,5272,4628,4209,0,1.3827512,0.8624867,-0.16063416,
1_1_1_1_1_174_0,5025,4848,4484,4339,3953,3186,2852,0,1.57223,0.9415298,-0.22246456,
1_1_1_1_1_175_0,6511,6134,5537,5176,4754,3800,3363,0,1.6464466,0.9500874,-0.24426967,
1_1_1_1_1_176_0,6731,6573,6123,5228,5006,4415,4234,0,1.4461502,0.9143731,-0.18238872,
1_1_1_1_1_177_0,5976,5649,4998,5047,4701,3804,3329,0,1.5013517,0.91881794,-0.20043233,
1_1_1_1_1_178_0,6637,6454,6075,5870,5386,4520,4356,0,1.394628,0.9314679,-0.16479723,
